label,text
spam,Nhập miễn phí trong 2 WKLY Comp để giành chiến thắng FA Cup Final TKTS ngày 21 tháng 5 năm 2005. Văn bản FA đến 87121 để nhận câu hỏi nhập cảnh (tỷ lệ STD TXT) T & C áp dụng 08452810075Over18
ham,Bạn không nói quá sớm ... bạn đã nói ...
ham,"Không, tôi không nghĩ anh ấy đến USF, anh ấy sống quanh đây"
ham,Ngay cả anh trai tôi cũng không thích nói chuyện với tôi.
ham,Theo yêu cầu của bạn 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' đã được đặt làm người gọi của bạn cho tất cả người gọi.
spam,Người chiến thắng !!
spam,Có di động của bạn 11 tháng trở lên?
ham,"Tôi sẽ về nhà sớm và tôi không muốn nói về những thứ này nữa tối nay, K?"
spam,Sáu cơ hội để giành được tiền mặt!
spam,CẤP BÁCH!
ham,Tôi đã tìm kiếm những từ thích hợp để cảm ơn bạn vì hơi thở này.
ham,Tôi có một cuộc hẹn vào Chủ nhật với Will !!
spam,"XXXMOBILEMOVIECLUB: Để sử dụng tín dụng của bạn, nhấp vào liên kết WAP trong thông báo TXT tiếp theo hoặc nhấp vào đây >> http: // wap."
ham,Oh k ... tôi đang xem ở đây :)
ham,Eh bạn nhớ làm thế nào 2 đánh vần tên của anh ấy ... vâng tôi đã làm.
ham,Tốt nếu đó là cách bạn cảm thấy.
spam,Anh v Macedonia - Đừng bỏ lỡ các mục tiêu/tin tức của đội.
ham,Đó có phải là một cách nghiêm túc về cách bạn đánh vần tên của anh ấy?
ham,Tôi sẽ cố gắng thử trong 2 tháng ha ha chỉ nói đùa
ham,"Vì vậy, ì_ trả trước lần cuối cùng ... thì khi nào là cổ phiếu ..."
ham,Phía sau tôi hoàn thành bữa trưa của mình sau đó tôi đi xuống.
ham,Ffffffffff.
ham,Chỉ buộc mình phải ăn một lát.
ham,Lol bạn luôn luôn thuyết phục.
ham,Bạn đã bắt xe buýt?
ham,Tôi trở lại & amp;
ham,Ahhh.
ham,"Đợi đã vẫn không rõ ràng, bạn không chắc chắn về việc tôi bị mỉa mai hay đó là lý do tại sao X không muốn sống với chúng tôi"
ham,"Vâng, anh ấy đã vào lúc 2 tuổi và V xin lỗi."
ham,K Hãy cho tôi biết bất cứ điều gì về bạn.
ham,Vì sợ ngất xỉu với tất cả những công việc nhà mà bạn vừa làm?
spam,"Cảm ơn bạn đã đăng ký với Ringtone UK, điện thoại di động của bạn sẽ được tính phí £ 5/tháng, vui lòng xác nhận bằng cách trả lời có hoặc không."
ham,Yup ... ok tôi về nhà nhìn vào thời gian rồi tôi tin ì_ một lần nữa ... Xuhui sẽ học vào ngày 2 tháng 5 cũng vậy nhưng bài học của cô ấy là lúc 8 giờ sáng
